City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Tupancireta,BR,2/3/2022 21:04,-29.0806,-53.8358,84.79,41,100,0.87
284,Vila Velha,BR,2/3/2022 21:04,-20.3297,-40.2925,76.95,90,75,5.75
285,Saskylakh,RU,2/3/2022 21:07,71.9167,114.0833,-18.83,97,99,2.15
286,Teguise,ES,2/3/2022 21:07,29.0605,-13.564,68.22,33,20,8.05
287,Port Augusta,AU,2/3/2022 21:07,-32.5,137.7667,58.71,53,0,5.39
288,Russell,US,2/3/2022 21:08,32.3502,-85.1999,72.68,82,100,17.27
289,Leningradskiy,RU,2/3/2022 21:08,69.3833,178.4167,-12.48,84,2,7.9
290,Nizhnyaya Poyma,RU,2/3/2022 21:08,56.1622,97.1933,-4.85,99,42,3.36
291,Nanortalik,GL,2/3/2022 21:08,60.1432,-45.2371,28.51,77,100,12.53
292,Shetpe,KZ,2/3/2022 21:08,44.1667,52.1167,42.76,53,50,19.3
293,Bonavista,CA,2/3/2022 21:05,48.6499,-53.1147,36.12,80,100,26.6
294,Launceston,AU,2/3/2022 21:06,-41.45,147.1667,53.8,75,0,1.01
295,Montrose,US,2/3/2022 21:08,38.4166,-108.2673,17.01,47,100,6.13
296,Medea,DZ,2/3/2022 21:08,36.2642,2.7539,52.25,34,100,6.96
297,Iqaluit,CA,2/3/2022 21:08,63.7506,-68.5145,-17.75,88,100,2.93
298,Nova Odesa,UA,2/3/2022 21:08,47.3078,31.7851,28.2,85,96,16.69
299,Morro Bay,US,2/3/2022 21:08,35.3658,-120.8499,69.24,37,56,4
300,Fairbanks,US,2/3/2022 21:08,64.8378,-147.7164,-6.39,62,100,5.75
301,San Marcos,US,2/3/2022 21:08,33.1434,-117.1661,68.97,24,0,5.01
302,Tahe,CN,2/3/2022 21:05,52.3333,124.7333,-5.75,75,9,9.24
303,San Cristobal,VE,2/3/2022 21:06,7.7669,-72.225,84.78,36,90,3
304,Clinton,US,2/3/2022 21:08,42.587,-82.9199,23.02,88,100,1.99
305,Vila Franca Do Campo,PT,2/3/2022 21:08,37.7167,-25.4333,61.21,79,41,13.35
306,San-Pedro,CI,2/3/2022 21:08,4.7485,-6.6363,79.84,81,3,6.08
