City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
633,Les Cayes,HT,84.36,scattered clouds,18.2,-73.75,Villa Orphee
636,Tete,MZ,84.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
644,Presidente Venceslau,BR,89.8,overcast clouds,-21.8761,-51.8439,K. Hotéis
646,Pak Phanang,TH,79.07,broken clouds,8.3511,100.202,Green Park Inn Hotel
650,Dakoro,NE,77.31,clear sky,14.5106,6.765,Shagon mai liverpool
657,Bhavani,IN,77.16,overcast clouds,11.45,77.6833,Paviesh Park
661,Rio Grande,BR,80.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
666,Lodja,CD,75.51,light rain,-3.4833,23.4333,
674,Bocas Del Toro,PA,88.07,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
681,Marovoay,MG,82.54,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
682,Vilhena,BR,82.62,scattered clouds,-12.7406,-60.1458,Hotel Mirage
686,San Jose De Rio Tinto,HN,84.56,few clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
687,Katobu,ID,75.72,overcast clouds,-4.9408,122.5276,La Ode Husein
688,Kismayo,SO,78.42,overcast clouds,-0.3582,42.5454,Agan-Hotel
690,Cabadiangan,PH,76.21,overcast clouds,9.7531,122.4739,Kipot
692,Urucui,BR,89.11,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
693,Aden,YE,78.69,clear sky,12.7794,45.0367,Sama Emirate Hotel
700,Puerto Madero,MX,84.4,clear sky,14.7208,-92.4215,Hospedaje madero
704,Bage,BR,85.78,scattered clouds,-31.3314,-54.1069,Hotel Obino - Bagé
